artist_name,count
Franz Schubert,4
Pantera,4
Zero 9:36,4
Foster The People,4
elijah,4
Christoph Willibald Gluck,4
Lang Lang,3
Scary Kids Scaring Kids,3
Red Hot Chili Peppers,3
DaBaby,3
Kami Kehoe,3
Dream on Dreamer,3
Georges Bizet,3
Charlotte Sands,3
Anarbor,3
Finch,3
The Cure,3
Simple Plan,3
Dead Eyes,3
Cologne Chamber Orchestra,3
Ocean Grove,3
Fanny Mendelssohn,3
Rezz,3
Dr. Dre,3
The Maine,3
Gorillaz,3
Until I Wake,3
WARGASM (UK),3
Audioslave,3
Sixx:A.M.,3
In Her Own Words,3
robbietheused,3
Mario Judah,3
David Bowie,3
LUNA AURA,3
Tigress,3
Palaye Royale,3
Finger Eleven,3
Andromida,3
KRAZKA,3
Muse,3
Joji,3
Bailey Spinn,3
Tory Lanez,3
AS IT IS,3
Faye Webster,3
Edward Elgar,3
Ocean Sleeper,3
Cobra Starship,3
Childish Gambino,3
We The Kings,3
Bad Religion,3
Thousand Below,3
Baby Keem,3
Nine Inch Nails,3
Ghost,3
Tee Grizzley,3
Thirty Seconds To Mars,3
The Cab,3
Electric Callboy,3
Puddle Of Mudd,3
As I Lay Dying,3
Metro Boomin,3
Tiësto,3
Rob Zombie,3
Karoly Botvay,3
State Champs,3
Taylor Swift,3
We Are The In Crowd,3
Bayside,3
Marshmello,3
Hard Bass School,3
Henry Purcell,3
Deadlands,3
1takejay,3
Rage Against The Machine,3
Lorna Shore,3
Tame Impala,3
Andy Black,3
Benjamin Frith,3
A Light Divided,3
Revnoir,3
We Are The Fallen,3
Quavo,3
The Exies,3
Led Zeppelin,3
Lilmar,3
The Notorious B.I.G.,2
Diego & Victor Hugo,2
Hélène Grimaud,2
Bladee,2
Slayer,2
PLVTINUM,2
mgk,2
breakk.away,2
Volbeat,2
Nettspend,2
Hugh Laurie,2
Within Temptation,2
Dashboard Confessional,2
Oliver Tree,2
Fate DeStroyed,2
BROCKHAMPTON,2
Doja Cat,2
Léo Delibes,2
D.R.K.O,2
NLE Choppa,2
Oceans Divide,2
Line So Thin,2
Brent Faiyaz,2
Hollywood Undead,2
Fetty Wap,2
Young Money,2
Knife Party,2
Third Eye Blind,2
Claude Debussy,2
Broadside,2
The Goo Goo Dolls,2
LMFAO,2
Fredrik Kronkvist,2
Solence,2
Our Last Night,2
STELLVRIS,2
R.E.M.,2
Lister,2
Gemini Syndrome,2
Diddy,2
Matchbox Twenty,2
BABYMETAL,2
Boston Manor,2
Monument Of A Memory,2
GSPD,2
Emery,2
WILLOW,2
The Audition,2
hxvvxn,2
Maurice Ravel,2
Kublai Khan TX,2
Dynoro,2
Pendulum,2
Felipe Amorim,2
Ecco2k,2
Husman,2
The Bunny The Bear,2
The Killers,2
AVAO,2
Hands Like Houses,2
Jeris Johnson,2
Rishloo,2
Lamb of God,2
MOTHICA,2
Kim Petras,2
Monocule,2
beabadoobee,2
Alain Johannes,2
The Beatles,2
Far East Movement,2
SAINt JHN,2
Elton John,2
Daft Punk,2
Only The Family,2
Limp Bizkit,2
Silent Theory,2
Cheat Codes,2
Clairo,2
Adventure Club,2
Love Like Enemies,2
PinkPantheress,2
Arcangelo Corelli,2
Framing Hanley,2
Ken Carson,2
Dave Blunts,2
SZA,2
Nickelback,2
Engrave,2
For The Fallen Dreams,2
Plain White T's,2
¥$,2
LiL Lotus,2
Midge Ure,2
Antonio Vivaldi,2
Highly Suspect,2
Jack Wall,2
Stain the Canvas,2
Dimitri Vegas & Like Mike,2
DubVision,2
ScHoolboy Q,2
Roddy Ricch,2
"Our Hollow, Our Home",2
Adelitas Way,2
Body Count,2
Eddie Cochran,2
William Boyce,2
Bingo Players,2
Cassadee Pope,2
JayDaYoungan,2
Money Man,2
The Black Keys,2
Villain of the Story,2
Lyrical Lemonade,2
Lazar Berman,2
cassö,2
Mobb Deep,2
Chiodos,2
NGHTMRE,2
AURORA,2
Neon Trees,2
MGMT,2
I DONT KNOW HOW BUT THEY FOUND ME,2
Patient Sixty-Seven,2
Wilhelm Kempff,2
Hayley Williams,2
Elena Siegman,2
Bob Dylan,2
Melrose Avenue,2
Camille Saint-Saëns,2
Advents,2
Tom Morello,2
Mitchel Dae,2
Kevin Sherwood,2
XS Project,2
Aerosmith,2
Coheed and Cambria,1
Heine Hansen,1
Bury Tomorrow,1
Salvador,1
Keane,1
The Four Freshmen,1
VUKOVI,1
Madeon,1
Mark Morton,1
The Cramps,1
Smile Empty Soul,1
Vampires Everywhere!,1
PEEKABOO,1
Lil Loaded,1
Bobby Brown,1
zebrahead,1
Mikel,1
Durnel Sanderson,1
Dzeko & Torres,1
Boston,1
Trippie Redd,1
Nonpoint,1
Children Of Bodom,1
Jason Derulo,1
Layto,1
SICK PUPPIES,1
TRUSTcompany,1
Seventh Day Slumber,1
The Fray,1
CORPSE,1
6LACK,1
3OH!3,1
Lady London,1
DIAMANTE,1
The Dirty Youth,1
Steve Aoki,1
Lit,1
Saving Abel,1
Gigi D'Agostino,1
Mon Laferte,1
